service_name,motor_type,price
KPB 2,VARIO 125 CBS ISS,0.0
PERBAIKAN STANG,BEAT FI CBS,50000.0
PENGGANTIAN CVT,NEW PCX 150 ABS,65000.0
PERBAIKAN CVT,BEAT SPORTY CW,65000.0
PERBAIKAN STANG,BEAT CBS FI MMC,50000.0
PENGGANTIAN BEARING DEPAN,VARIO 125 CBS MMC,25000.0
PEMERIKSAAN KELISTRIKAN,NEW PCX 150 CBS,100000.0
KPB 1,PCX160 ABS,0.0
LCR TREATMENT 1,BeAT Sporty CBS ISS,0.0
PEMERIKSAAN KELISTRIKAN,ALL NEW SCOOPY STYLISH,50000.0
PEMERIKSAAN KELISTRIKAN,SCOOPY FI,50000.0
PERBAIKAN MASTER REM DEPAN,BEAT SPORTY CBS,30000.0
PERBAIKAN CVT,BEAT SPORTY CBS ISS,65000.0
PEMERIKSAAN KELISTRIKAN,VARIO 125 CBS-ISS MMC,50000.0
PERBAIKAN STATOR COMP / SPULL,SCOOPY ESP,100000.0
PERBAIKAN HEADLIGHT UNIT,BEAT SPORTY CBS,30000.0
PERBAIKAN BAN BELAKANG,VARIO 125 CBS,35000.0
PENGGANTIAN COVER HANDLE GETAR,NEW VARIO 150,20000.0
LCR GANTI,BeAT Street,0.0
PENGGANTIAN BUSI,VARIO 125 CBS,10000.0
PENGGANTIAN BUSI,NEW VARIO 150,10000.0
PENGGANTIAN BUSI,SUPRA X 125 CW MMC,5000.0
PENGGANTIAN BUSI,BEAT SPORTY CBS,10000.0
JASA PASANG 5000,VARIO FI,5000.0
JASA PASANG 5000,NEW BEAT CAST WHEEL,5000.0
LCR CHECK,BeAT Sporty CBS ISS Deluxe,0.0
PENGGANTIAN CVT,VARIO 150,60000.0
PENGGANTIAN CVT,BEAT STREET CBS,60000.0
KPB 1,BeAT Sporty DLX Smart Key,0.0
PAKET CEK REM GRATIS,NEW BEAT CAST WHEEL,0.0
PAKET CEK REM GRATIS,PCX 160 ABS,0.0
PAKET KURAS RADIATOR,NEW VARIO TECHNO PGM FI,35000.0
SERVIS PAKET LENGKAP PERAWATAN,PCX 160 CBS,120000.0
JASA 0,BEAT FI CW,0.0
JASA PASANG 10000,BEAT SPORTY CW,10000.0
JASA PASANG 10000,CB150R STREETFIRE,10000.0
KPB 1,PCX160 RoadSync,0.0
LCR CHECK,GENIO CBS,0.0
PENGGANTIAN KANVAS REM DEPAN,GENIO CBS,15000.0
SERVIS PAKET LENGKAP PERAWATAN,VARIO TECHNO NON CBS,90000.0
PENGGANTIAN SARINGAN UDARA,VARIO TECHNO NON CBS,10000.0
PENGGANTIAN OLI GARDAN,VARIO TECHNO NON CBS,5000.0
PENGGANTIAN BUSI,VARIO TECHNO NON CBS,15000.0
SERVIS PAKET LENGKAP PERAWATAN,ALL NEW SCOOPY STYLISH,90000.0
PERBAIKAN STANG,ALL NEW SCOOPY STYLISH,50000.0
KPB 2,VARIO 160 CBS,0.0
PERBAIKAN FUEL PUMP,NEW VARIO 125 CBS,30000.0
PERBAIKAN STANG,NEW VARIO 125 CBS,50000.0
KPB 2,BEAT SPORTY CBS,0.0
JASA PASANG 35000,NEW SCOOPY STYLISH,35000.0
JASA PASANG 55000,NEW VARIO 150,0.0
PERBAIKAN HEADLIGHT UNIT,BEAT SPORTY CW,25000.0
PERBAIKAN FUEL PUMP,BEAT SPORTY CW,30000.0
PENGGANTIAN OLI MESIN,Beat Sporty,5000.0
KPB 1,BEAT SPORTY DLX SMART KEY,0.0
SERVIS PAKET RINGAN PERAWATAN,BeAT Sporty CBS,70000.0
PENGGANTIAN MINYAK REM,BeAT Sporty CBS,0.0
JASA CEK KILAT,BeAT Sporty CBS,1.0
GANTI OLI PLUS PENGGANTIAN,BeAT Sporty CBS,5000.0
PENGGANTIAN OLI MESIN,BEAT CW FI MMC,5000.0
SERVIS PAKET LENGKAP PERAWATAN,BEAT CW FI MMC,90000.0
PERBAIKAN FUEL PUMP,BEAT CW FI MMC,30000.0
PENGGANTIAN AKI,VARIO 125 CBS,0.0
PAKET CEBAN,CB150 VERZA CW,10000.0
PENGGANTIAN BUSI,BEAT FI SW,15000.0
PERBAIKAN CVT,BEAT FI SW,50000.0
SERVIS PAKET LENGKAP PERAWATAN,NEW VARIO 150,105000.0
PERBAIKAN CVT,NEW VARIO 150,50000.0
PAKET CEBAN,SUPRA X 125 R DD,10000.0
PAKET CEBAN,NEW VARIO TECHNO PGM FI,10000.0
PAKET CEBAN,BEAT FI CW,10000.0
PAKET CEBAN,VARIO TECHNO 125 FI CBS,10000.0
KPB 3,BEAT SPORTY CBS,0.0
JASA PASANG 5000,BeAT Sporty CBS ISS Deluxe,5000.0
PENGGANTIAN OLI GARDAN,Beat Sporty,10000.0
JASA PASANG,CB150R STREETFIRE,30000.0
SERVIS PAKET LENGKAP PERAWATAN,CB150R STREETFIRE,105000.0
PAKET CEBAN,REVO X,10000.0
JASA PASANG 5000,ALL NEW SCOOPY SPORTY,5000.0
PAKET CEBAN,VARIO TECHNO NON CBS,10000.0
KPB 1,SCOOPY STYLISH,0.0
PENGGANTIAN OLI MESIN,BeAT Street,5000.0
SERVIS PAKET LENGKAP PERAWATAN,SPACY CW HELM IN,90000.0
PAKET CEBAN,NEW VARIO,10000.0
JASA PASANG 65000,VARIO 125 CBS ISS,65000.0
PENGGANTIAN OLI GARDAN,VARIO 125 CBS ISS,5000.0
SERVIS PAKET LENGKAP PERAWATAN,VARIO 125 CBS ISS,120000.0
PERBAIKAN COM STEER,BEAT CW FI MMC,25000.0
PERBAIKAN CVT,BEAT CW FI MMC,50000.0
PERBAIKAN JARI - JARI / GANTI TROMOL,BEAT CW FI MMC,100000.0
PAKET CEBAN,SCOOPY,10000.0
PAKET CEBAN,ALL NEW CBR 150R,10000.0
LCR CHECK,BeAT Sporty CBS,0.0
JASA PASANG 15000,BeAT Sporty CBS,15000.0
JASA PASANG 20000,BeAT Sporty DLX Smart Key,20000.0
JASA PASANG 15000,ALL NEW SCOOPY SPORTY,15000.0
LCR CHECK,BeAT Street,0.0
PAKET CEBAN,REVO SPOKE,10000.0
PAKET CEBAN,BEAT SPORTY CW,10000.0
SERVICE PAKET LENGKAP,BeAT Sporty CBS,101000.0
JASA PASANG 20000,SCOOPY FI,20000.0
PEMERIKSAAN LAIN - LAIN,SCOOPY FI,0.0
PENGGANTIAN OLI MESIN,BEAT FI CW,6000.0
SERVIS PAKET LENGKAP PERAWATAN PLUS,NEW VARIO 150,133000.0
JASA PASANG 5000,BEAT FI CW,5000.0
PENGGANTIAN OLI GARDAN,SCOOPY FI,5000.0
PERBAIKAN SPEDOMETER,SCOOPY FI,35000.0
JASA PASANG 50000,SCOOPY FI,50000.0
PAKET CEBAN,PCX 160 CBS,10000.0
SERVIS PAKET LENGKAP PERAWATAN,BEAT FI SW,85000.0
JASA PASANG 20000,NEW PCX 150 CBS,20000.0
PENGGANTIAN OLI GARDAN,BEAT SPORTY CW,5000.0
JASA PASANG 90000,BEAT SPORTY CW,90000.0
PENGGANTIAN OLI GARDAN,NEW BEAT CAST WHEEL,10000.0
PENGGANTIAN OLI MESIN,NEW BEAT CAST WHEEL,10000.0
SERVIS PAKET LENGKAP PERAWATAN,NEW BEAT CAST WHEEL,90000.0
PENGGANTIAN SARINGAN UDARA,NEW BEAT CAST WHEEL,15000.0
PENGGANTIAN BUSI,NEW BEAT CAST WHEEL,10000.0
PERBAIKAN KUNCI SET,ALL NEW SCOOPY STYLISH,50000.0
PAKET CEBAN,BEAT CW FI MMC,10000.0
PAKET CEBAN,BEAT SW FI MMC,10000.0
KPB 2,SCOOPY FASHION,0.0
JASA PASANG 5000,BEAT SPORTY CBS ISS,5000.0
PAKET CEBAN,BEAT SPORTY CBS ISS,10000.0
PEMERIKSAAN KELISTRIKAN,NEW BEAT CAST WHEEL,75000.0
KPB 4,BEAT SPORTY CBS,0.0
PENGGANTIAN CVT,NEW VARIO TECHNO PGM FI,70000.0
PAKET PEMBERSIHAN CVT,BEAT SPORTY CW,35000.0
PAKET CEBAN,NEW SUPRA X 125 CW FI MMC,10000.0
KPB 2,VARIO 125 CBS,0.0
SERVIS PAKET LENGKAP PERAWATAN,BeAT Sporty CBS ISS Deluxe,100000.0
PENGGANTIAN OLI GARDAN,BEAT CW FI MMC,5000.0
SERVIS PAKET LENGKAP PERAWATAN,NEW SCOOPY FASHION,95000.0
JASA PASANG 5000,BLADE,5000.0
SERVIS PAKET LENGKAP PERAWATAN PLUS,BEAT SPORTY CW,85000.0
PENGGANTIAN OLI GARDAN,ADV150 ABS,0.0
SERVIS PAKET LENGKAP PERAWATAN,ADV150 ABS,155000.0
SERVIS PAKET LENGKAP PERAWATAN,BLADE,75000.0
SERVIS PAKET LENGKAP PERAWATAN,SCOOPY FI,90000.0
PENGGANTIAN OLI MESIN,SCOOPY FI,5000.0
SERVIS PAKET LENGKAP PERAWATAN,BeAT Sporty CBS,95000.0
KPB 1,SCOOPY PRESTIGE,0.0
PERBAIKAN STANG,BeAT Sporty CBS,30000.0
PERBAIKAN BOHLAM LAMPU DEPAN / SOCKET ,BEAT SPORTY CW,25000.0
PAKET CEBAN,VARIO TECHNO 125 CBS ISS,10000.0
LCR CHECK,NEW SCOOPY STYLISH,0.0
JASA PASANG 2000,SPACY CW HELM IN FI,2000.0
PAKET CEBAN,NEW BEAT CAST WHEEL,10000.0
PAKET CEBAN,BEAT,10000.0
SERVIS PAKET LENGKAP PERAWATAN,BeAT Street,65000.0
PAKET CEBAN,NEW SUPRA X 125 FI CW,10000.0
PENGGANTIAN BAN BELAKANG,VARIO TECHNO 125 FI ISS,20000.0
BONGKAR KEPALA,BEAT SPORTY CBS ISS,280000.0
PAKET CEBAN,BEAT FI CBS,10000.0
PENGGANTIAN BEARING BELAKANG,CB150R STREETFIRE,15000.0
PENGGANTIAN BAN BELAKANG,BEAT SPORTY CW,15000.0
PAKET CEBAN,NEW VARIO 125 CBS ISS,10000.0
PEMERIKSAAN KELISTRIKAN,PCX 160 CBS,50000.0
PAKET PEMBERSIHAN CVT,PCX 160 CBS,40000.0
PENGGANTIAN BAN BELAKANG,BEAT SPORTY CBS ISS,20000.0
PENGGANTIAN KANVAS REM BELAKANG,BEAT SPORTY CBS ISS,20000.0
PENGGANTIAN FUEL PUMP,BEAT SPORTY CBS ISS,25000.0
PENGGANTIAN RANTAI KETENG ,BEAT SPORTY CBS ISS,50000.0
PENGGANTIAN KANVAS REM DEPAN,BEAT SPORTY CBS ISS,15000.0
SERVIS PAKET LENGKAP PERAWATAN,VARIO 125 CBS ISS SP,75000.0
PENGGANTIAN OLI MESIN,VARIO 125 CBS ISS SP,0.0
PAKET CEBAN,REVO AT,10000.0
PENGGANTIAN OLI MESIN,BeAT Sporty CBS,0.0
LCR TREATMENT 1,NEW SCOOPY STYLISH,0.0
JASA CEK KILAT,PCX 160 CBS,1.0
KPB 1,VARIO 125 CBS,0.0
PAKET CEBAN,CS1,10000.0
PENGGANTIAN BUSI,NEW SCOOPY FI,0.0
JASA PASANG 15000,BEAT FI CW,15000.0
PENGGANTIAN OLI MESIN,VARIO 160 ABS,10000.0
PENGGANTIAN OLI GARDAN / OIL FINAL GEAR,VARIO 160 ABS,5000.0
JASA PASANG 5000,NEW CBR 150R STD,5000.0
PENGGANTIAN OLI MESIN,BLADE,0.0
SERVIS PAKET LENGKAP PERAWATAN PLUS,NEW PCX 150 CBS,233000.0
PAKET CEBAN,NEW VARIO 125 CBS,10000.0
KPB 2,SCOOPY PRESTIGE,0.0
JASA PASANG 40000,REVO 110 CAST WHEEL,40000.0
PENGGANTIAN SARINGAN UDARA,BEAT SPORTY CW,10000.0
PENGGANTIAN BUSI,BEAT SPORTY CW,15000.0
JASA PASANG 30000,BeAT Sporty CBS ISS Deluxe,30000.0
PERBAIKAN KANVAS REM DEPAN,BEAT CBS FI MMC,25000.0
CVT,SPACY CW HELM IN FI,80000.0
PAKET CEBAN,BEAT POP CW,10000.0
PAKET SIAP MUDIK 2025,STYLO 160 CBS,50000.0
SERVIS PAKET LENGKAP PERAWATAN,VARIO 160 CBS,109000.0
PENGGANTIAN OLI MESIN,NEW MEGA PRO CW,0.0
PENGGANTIAN KANVAS REM BELAKANG,BeAT Street,35000.0
PAKET CEBAN,VARIO CAST WHEEL,10000.0
PENGGANTIAN OLI MESIN,NEW PCX 150 CBS,3000.0
PAKET CEBAN,CB150R STREETFIRE,10000.0
JASA PASANG 10000,PCX 160 ABS,10000.0
PENGGANTIAN OLI MESIN,PCX 160 ABS,0.0
PENGGANTIAN KANVAS REM BELAKANG,VARIO TECHNO 125 CBS ISS,20000.0
SERVIS PAKET LENGKAP PERAWATAN,SCOOPY ESP,80000.0
KPB 2,BeAT Sporty CBS,0.0
PEMERIKSAAN KELISTRIKAN,GENIO CBS,75000.0
KPB 1,PCX 160 CBS,0.0
PAKET PEMBERSIHAN CVT,VARIO 125 CBS ISS SP,15000.0
SERVIS PAKET LENGKAP PERAWATAN PLUS,VARIO 125 CBS ISS SP,78000.0
JASA PASANG 50000,ALL NEW SONIC 150 R,50000.0
PAKET GOCENG,NEW VARIO 150,5000.0
PENGGANTIAN BELT DRIVE / ROLLER,NEW BEAT CAST WHEEL,50000.0
PENGGANTIAN KANVAS REM BELAKANG,PCX,50000.0
JASA PASANG 5000,BEAT STREET CBS,5000.0
PERBAIKAN COM STEER,REVO CW FI,20000.0
PAKET GOCENG,SUPRA X 125 R DD,5000.0
JASA PASANG 25000,BEAT FI CW,25000.0
PAKET PEMBERSIHAN CVT,BEAT FI CBS,50000.0
PENGGANTIAN SARINGAN UDARA,BEAT SPORTY CBS ISS,20000.0
SERVIS PAKET LENGKAP PERAWATAN,VARIO 125 CBS,90000.0
JASA PASANG 30000,SCOOPY ESP,30000.0
PAKET CEBAN,SPACY CW HELM IN FI,10000.0
JASA PASANG 55000,VARIO 110 CBS ISS,55000.0
PAKET INJECTOR CLEANER,BEAT SPORTY CW,45000.0
JASA PASANG 225000,BEAT SPORTY CW,225000.0
JASA PASANG 100000,BEAT SPORTY CW,100000.0
JASA PASANG 50000,BEAT SPORTY CW,50000.0
BONGKAR KEPALA,BEAT SPORTY CW,200000.0
JASA PASANG 70000,BEAT SPORTY CW,70000.0
GANTI OLI PLUS PENGGANTIAN,BEAT SPORTY CBS ISS,0.0
PAKET CEBAN,VARIO 150,10000.0
PAKET CEBAN,NEW PCX 150 ABS,10000.0
PAKET RESET FI,VARIO 150,35000.0
SERVIS PAKET LENGKAP PERAWATAN,NEW VARIO 125 CBS,95000.0
SERVIS PAKET LENGKAP PERAWATAN PLUS,TIGER CAST WHEEL,95000.0
KPB 3,BEAT STREET,0.0
KPB 2,STYLO 160 CBS,0.0
SERVIS PAKET LENGKAP PERAWATAN PLUS,NEW SCOOPY PRESTIGE,140000.0
PERBAIKAN CVT,ADV150 CBS,55000.0
PENGGANTIAN OLI GARDAN,VARIO 150,5000.0
JASA CEK KILAT,VARIO 125 CBS ISS,1.0
KPB 1,VARIO 125 CBS ISS,0.0
BONGKAR GARDAN,BEAT SPORTY CW,85000.0
PEMERIKSAAN KELISTRIKAN,BEAT FI CBS,50000.0
SERVIS PAKET CVT PLUS,VARIO 150,45000.0
JASA PASANG 35000,BEAT FI CW,35000.0
PENGGANTIAN BUSI,VARIO TECHNO 125 FI CBS,0.0
PENGGANTIAN OLI GARDAN,ALL NEW SCOOPY SPORTY,0.0
JASA PASANG 150000,ALL NEW SCOOPY SPORTY,150000.0
JASA PASANG 45000,VARIO CAST WHEEL,45000.0
KPB 3,VARIO 125 CBS ISS,0.0
KPB 1,BEAT STREET,0.0
PENGGANTIAN OLI GARDAN,VARIO 125 CBS ISS SP,5000.0
PENGGANTIAN BAN DEPAN,BEAT SPORTY CBS,15000.0
SERVIS PAKET LENGKAP PERAWATAN,Beat Sporty,90000.0
KPB 1,SCOOPY ENERGETIC,0.0
SERVIS PAKET LENGKAP PERAWATAN,VARIO 150,100000.0
PENGGANTIAN OLI GARDAN,BeAT Sporty CBS,5000.0
PAKET CEBAN,REVO 110 CAST WHEEL,10000.0
JASA PASANG 30000,BEAT FI CW,30000.0
PENGGANTIAN OLI MESIN,BEAT SPORTY CBS,6000.0
JASA PASANG 5000,VARIO 150,5000.0
JASA PASANG 10000,NEW CB150R STREETFIRE,10000.0
SPECIAL MATIC 50K,VARIO 160 ABS,50000.0
SERVIS PAKET RINGAN PERAWATAN,VARIO 125 CBS ISS,50000.0
PENGGANTIAN OLI MESIN,NEW VARIO TECHNO PGM FI,0.0
SERVIS PAKET RINGAN PERAWATAN,CRF1100,434000.0
PENGGANTIAN OLI MESIN,NEW SCOOPY PRESTIGE,0.0
SERVIS PAKET LENGKAP PERAWATAN PLUS,SUPRA X 125 R DD,80000.0
JASA PASANG 20000,ALL NEW SCOOPY STYLISH,20000.0
PAKET GOCENG,ALL NEW SCOOPY STYLISH,5000.0
JASA PASANG 5000,VARIO TECHNO NON CBS,5000.0
PEMERIKSAAN KELISTRIKAN,VARIO ESP CBS ISS ADV MMC,50000.0
PENGGANTIAN CVT,NEW BEAT CAST WHEEL,60000.0
KPB 4,NEW SCOOPY SPORTY,0.0
JASA PASANG 25000,BEAT STREET CBS,25000.0
SERVIS PAKET CVT PLUS,BEAT SPORTY CBS ISS,39000.0
JASA PASANG 45000,VARIO 125 CBS ISS,45000.0
PAKET CEBAN,NEW VARIO 150,10000.0
JASA PASANG 50000,VARIO 125 CBS ISS,50000.0
SERVIS PAKET CVT PLUS,BeAT Street,50000.0
PENGGANTIAN OLI MESIN,VARIO TECHNO 125 FI CBS,6000.0
PENGGANTIAN OLI MESIN,VARIO 125 CBS MMC,5000.0
SERVIS PAKET CVT PLUS,VARIO 125 CBS,50000.0
JASA PASANG 60000,VARIO 125 CBS,60000.0
PAKET PEMBERSIHAN CVT,BEAT STREET CBS,30000.0
SERVIS PAKET RINGAN PERAWATAN,VARIO 150,80000.0
PERBAIKAN COM STEER,VARIO 150,100000.0
SERVIS PAKET LENGKAP PERAWATAN,GENIO CBS ISS,85000.0
PAKET PEMBERSIHAN CVT,GENIO CBS ISS,25000.0
PENGGANTIAN OLI MESIN,BEAT FI CBS,5000.0
JASA PASANG 55000,ALL NEW CBR 150R,55000.0
SERVIS PAKET LENGKAP PERAWATAN PLUS,BEAT SPORTY CBS,75000.0
JASA PASANG 35000,BEAT SPORTY CW,35000.0
PENGGANTIAN COM STEER,NEW BEAT CAST WHEEL,85000.0
SERVIS PAKET CVT PLUS,BEAT STREET CBS,39000.0
PAKET CEBAN,VARIO TECHNO,10000.0
JASA PASANG 5000,REVO,5000.0
SERVIS PAKET RINGAN PERAWATAN,NEW PCX 150 CBS,128000.0
PAKET CEBAN,PCX 160 ABS,10000.0
PERBAIKAN BOHLAM SOCKET HEADLIGHT,VARIO 125 CBS-ISS MMC,15000.0
JASA PASANG 75000,SUPRA X,75000.0
PAKET PEMBERSIHAN CVT,VARIO 125 CBS ISS,50000.0
SERVIS PAKET LENGKAP PERAWATAN PLUS,ADV150 CBS,170000.0
JASA PASANG 35000,NEW PCX 150 ABS,35000.0
KPB 2,NEW SCOOPY STYLISH,0.0
LCR TREATMENT 1,VARIO 160 CBS,0.0
JASA PASANG 25000,ALL NEW CBR 150R,25000.0
PAKET CEBAN,VARIO FI,10000.0
SERVIS PAKET LENGKAP PERAWATAN,NEW SCOOPY STYLISH,100000.0
PENGGANTIAN KANVAS REM DEPAN,CB150R STREETFIRE,25000.0
JASA PASANG 25000,CB150R STREETFIRE,25000.0
PEMERIKSAAN KELISTRIKAN,REVO,200000.0
JASA PASANG 85000,BeAT Sporty CBS ISS Deluxe,85000.0
SERVIS PAKET LENGKAP PERAWATAN PLUS,PCX 160 CBS,140000.0
PEMERIKSAAN LAIN - LAIN,PCX 160 CBS,0.0
KPB 2,ADV 160 ABS,0.0
SERVIS PAKET CVT PLUS,BEAT SPORTY CW,50000.0
PENGGANTIAN GEAR SET ( DRIVE CHAIN KIT ),BEAT SPORTY CW,25000.0
SERVIS PAKET CVT PLUS,PCX 160 CBS,50000.0
JASA PASANG 15000,SCOOPY ESP,15000.0
KPB 1,SCOOPY FASHION,0.0
PENGGANTIAN OLI MESIN,VARIO 125 CBS ISS,7500.0
PENGGANTIAN COM STEER,BEAT SPORTY CW,80000.0
PENGGANTIAN BEARING DEPAN,BEAT SPORTY CW,30000.0
SERVIS PAKET LENGKAP PERAWATAN,NEW VARIO,95000.0
PENGGANTIAN CVT,NEW VARIO,50000.0
SERVIS PAKET RINGAN PERAWATAN,SUPRA X 125 R DD,90000.0
PAKET CEBAN,VARIO 150 MMC,10000.0
PENGGANTIAN SARINGAN UDARA,NEW SCOOPY STYLISH,6300.0
PENGGANTIAN BUSI,NEW SCOOPY STYLISH,6300.0
PENGGANTIAN OLI GARDAN,NEW SCOOPY STYLISH,6300.0
PENGGANTIAN OLI MESIN,NEW SCOOPY STYLISH,8000.0
JASA PASANG 30000,NEW PCX 150 ABS,30000.0
PAKET GOCENG,CB150R STREETFIRE,5000.0
SERVIS PAKET LENGKAP PERAWATAN PLUS,VARIO FI,85000.0
SERVIS PAKET LENGKAP PERAWATAN PLUS,BEAT FI CW,130000.0
SERVIS PAKET LENGKAP PERAWATAN PLUS,BEAT POP ESP CW PIXEL,74700.0
SERVIS PAKET LENGKAP PERAWATAN,VARIO 150 MMC,140000.0
PERBAIKAN COM STEER,BEAT STREET CBS,25000.0
SERVIS PAKET LENGKAP PERAWATAN,BEAT,75000.0
PENGGANTIAN OLI MESIN,BEAT,0.0
PENGGANTIAN AKI,SCOOPY ESP,0.0
PAKET SERVIS SILVER,NEW VARIO 150,40000.0
KPB 4,BeAT Street,0.0
LCR CHECK,VARIO 160 CBS,0.0
PERBAIKAN KANVAS REM BELAKANG,BEAT SPORTY CW,20000.0
KPB 1,PCX160 CBS,0.0
PENGGANTIAN OLI MESIN,REVO CW,5000.0
PENGGANTIAN BAN BELAKANG,VARIO 150 SPORTY,35000.0
JASA PASANG 35000,NEW SCOOPY PRESTIGE,35000.0
PENGGANTIAN OLI MESIN,VARIO 150,0.0
SERVIS PAKET LENGKAP PERAWATAN,ALL NEW SCOOPY SPORTY,75000.0
KPB 1,BeAT Sporty CBS ISS Deluxe,0.0
PAKET SERVIS SILVER,BEAT SPORTY CW,60000.0
PAKET GOCENG,TIGER CAST WHEEL,5000.0
SERVIS PAKET LENGKAP PERAWATAN PLUS,SCOOPY ESP,75000.0
PAKET PEMBERSIHAN CVT,NEW VARIO 125 CBS ISS,15000.0
SERVIS PAKET LENGKAP PERAWATAN,NEW VARIO 125 CBS ISS,73000.0
JASA PASANG 20000,NEW BLADE 125 FI R,20000.0
JASA PASANG 5000,NEW PCX 150 CBS,5000.0
JASA PASANG 10000,ALL NEW SCOOPY STYLISH,10000.0
JASA PASANG 5000,SUPRA X 125 R DD,5000.0
PENGGANTIAN BEARING DEPAN,ALL NEW SCOOPY STYLISH,25000.0
PENGGANTIAN MINYAK REM,ALL NEW SCOOPY STYLISH,30000.0
SERVICE LENGKAP,BEAT SPORTY CBS ISS,122000.0
JASA PASANG 5000,BEAT POP ESP CW,2000.0
PEMERIKSAAN KELISTRIKAN,VARIO 150,40000.0
PAKET KURAS TANGKI,SCOOPY ESP,25000.0
JASA PASANG 5000,BEAT STREET,4500.0
SERVIS PAKET LENGKAP PERAWATAN PLUS,NEW VARIO ESP CBS ADVANCE,150000.0
KPB 3,BeAT Sporty DLX Smart Key,0.0
PAKET CEBAN,NEW VARIO ESP CBS ADVANCE,10000.0
JASA PASANG 30000,BeAT Sporty CBS,30000.0
SERVIS PAKET LENGKAP PERAWATAN,NEW PCX 150 CBS,140000.0
PENGGANTIAN BAN BELAKANG,BEAT STREET CBS,20000.0
PENGGANTIAN OLI GARDAN,BEAT STREET CBS,5000.0
